time,peoplecount_rgb,co2
2021-02-11 15:12:15.450,0,451.0
2021-02-11 15:12:16.524,0,451.0
2021-02-11 15:13:14.905,0,422.0
2021-02-11 15:13:34.000,0,422.0
2021-02-11 15:13:46.695,0,422.0
2021-02-11 15:17:16.796,0,424.0
2021-02-11 15:17:23.000,0,424.0
2021-02-11 15:17:24.700,0,424.0
2021-02-11 15:17:29.045,0,424.0
2021-02-11 15:19:16.231,1,430.0
2021-02-11 15:19:20.000,1,430.0
2021-02-11 15:20:02.360,1,444.0
2021-02-11 15:20:05.595,1,444.0
2021-02-11 15:20:14.734,0,444.0
2021-02-11 15:20:33.635,0,444.0
2021-02-11 15:21:16.219,1,423.0
2021-02-11 15:21:17.100,1,423.0
2021-02-11 15:21:29.139,1,423.0
2021-02-11 15:21:33.000,1,423.0
2021-02-11 15:21:50.950,1,449.0
2021-02-11 15:22:17.099,0,449.0
2021-02-11 15:22:29.385,0,449.0
2021-02-11 15:23:06.734,0,428.0
2021-02-11 15:23:15.413,1,428.0
2021-02-11 15:23:17.780,1,428.0
2021-02-11 15:23:27.000,1,428.0
2021-02-11 15:23:41.915,1,428.0
2021-02-11 15:26:16.230,0,443.0
2021-02-11 15:28:15.685,0,424.0
2021-02-11 15:28:15.835,0,424.0
2021-02-11 15:28:34.100,0,424.0
2021-02-11 15:34:14.646,0,415.0
2021-02-11 15:39:14.947,0,442.0
2021-02-11 15:39:26.000,0,442.0
2021-02-11 15:42:15.698,0,441.0
2021-02-11 15:43:16.754,0,421.0
2021-02-11 15:43:37.000,0,421.0
2021-02-11 15:44:15.219,0,424.0
2021-02-11 15:45:16.417,0,441.0
2021-02-11 15:46:14.820,0,422.0
2021-02-11 15:47:15.900,0,444.0
2021-02-11 15:47:25.000,0,444.0
2021-02-11 15:48:17.137,0,436.0
2021-02-11 15:49:15.485,0,445.0
2021-02-11 15:49:19.000,0,445.0
2021-02-11 15:50:16.781,0,426.0
2021-02-11 15:50:33.080,0,426.0
2021-02-11 15:55:16.871,0,447.0
2021-02-11 15:57:16.357,0,425.0
2021-02-11 15:57:23.000,0,425.0
2021-02-11 16:01:15.268,0,444.0
2021-02-11 16:04:16.388,0,437.0
2021-02-11 16:11:16.303,0,419.0
2021-02-11 16:11:23.000,0,419.0
2021-02-11 16:12:14.726,0,424.0
2021-02-11 16:13:16.003,0,425.0
2021-02-11 16:13:21.000,0,425.0
2021-02-11 16:15:15.265,0,442.0
2021-02-11 16:16:16.502,0,458.0
2021-02-11 16:17:14.911,0,504.0
2021-02-11 16:17:28.000,0,504.0
2021-02-11 16:18:16.116,0,487.0
2021-02-11 16:19:14.476,0,504.0
2021-02-11 16:19:22.000,0,504.0
2021-02-11 16:20:15.742,0,484.0
2021-02-11 16:23:16.429,0,478.0
2021-02-11 16:23:33.000,0,502.0
2021-02-11 16:24:14.930,0,502.0
2021-02-11 16:25:16.040,0,509.0
2021-02-11 16:25:27.000,0,509.0
2021-02-11 16:26:17.117,0,526.0
2021-02-11 16:27:15.618,0,524.0
2021-02-11 16:27:21.000,0,524.0
2021-02-11 16:28:16.872,0,507.0
2021-02-11 16:29:15.188,0,507.0
2021-02-11 16:30:16.490,0,543.0
2021-02-11 16:31:32.000,0,526.0
2021-02-11 16:32:15.920,0,526.0
2021-02-11 16:33:17.269,0,489.0
2021-02-11 16:33:26.000,0,489.0
2021-02-11 16:34:15.593,0,478.0
2021-02-11 16:36:15.035,0,505.0
2021-02-11 16:37:16.137,0,480.0
2021-02-11 16:37:38.000,0,461.0
2021-02-11 16:38:14.547,0,461.0
2021-02-11 16:39:15.737,0,462.0
2021-02-11 16:39:32.000,0,462.0
2021-02-11 16:40:17.097,0,486.0
2021-02-11 16:41:15.379,0,477.0
2021-02-11 16:41:26.000,0,477.0
2021-02-11 16:43:14.823,0,460.0
2021-02-11 16:43:20.000,0,460.0
2021-02-11 16:45:14.318,0,461.0
2021-02-11 16:45:37.000,0,461.0
2021-02-11 16:47:31.000,0,478.0
2021-02-11 16:48:15.946,0,460.0
2021-02-11 16:49:16.397,0,462.0
2021-02-11 16:49:25.000,0,462.0
2021-02-11 16:50:14.902,0,443.0
2021-02-11 16:50:33.682,0,443.0
2021-02-11 16:51:16.125,0,477.0
2021-02-11 16:51:19.000,0,477.0
2021-02-11 16:52:17.292,0,457.0
2021-02-11 16:54:16.888,0,455.0
2021-02-11 16:55:15.002,0,435.0
2021-02-11 16:55:30.000,0,435.0
2021-02-11 16:57:14.634,0,456.0
2021-02-11 16:57:24.000,0,456.0
2021-02-11 16:59:17.134,0,437.0
2021-02-11 16:59:22.000,0,437.0
2021-02-11 17:02:15.014,0,459.0
2021-02-11 17:03:16.369,0,442.0
2021-02-11 17:03:29.000,0,463.0
2021-02-11 17:04:14.501,0,460.0
2021-02-11 17:07:15.434,0,490.0
2021-02-11 17:07:22.000,0,490.0
2021-02-11 17:08:16.394,0,474.0
2021-02-11 17:09:35.000,0,439.0
2021-02-11 17:10:16.284,0,458.0
2021-02-11 17:10:22.837,0,458.0
2021-02-11 17:10:39.252,0,435.0
2021-02-11 17:11:17.238,0,435.0
2021-02-11 17:11:29.000,0,435.0
2021-02-11 17:12:15.612,0,443.0
2021-02-11 17:13:16.795,0,477.0
2021-02-11 17:13:23.000,0,477.0
2021-02-11 17:14:00.498,0,454.0
2021-02-11 17:14:15.350,0,454.0
2021-02-11 17:14:16.728,0,454.0
2021-02-11 17:14:16.759,0,454.0
2021-02-11 17:15:39.433,1,436.0
2021-02-11 17:16:14.935,0,436.0
2021-02-11 17:17:15.869,0,464.0
2021-02-11 17:17:34.000,0,464.0
2021-02-11 17:18:44.178,1,435.0
2021-02-11 17:18:55.193,1,435.0
2021-02-11 17:19:15.461,1,458.0
2021-02-11 17:19:28.000,1,458.0
2021-02-11 17:23:14.535,0,476.0
2021-02-11 17:23:19.748,0,476.0
2021-02-11 17:23:20.000,0,476.0
2021-02-11 17:24:00.869,0,455.0
2021-02-11 17:24:12.898,0,455.0
2021-02-11 17:24:15.885,0,455.0
2021-02-11 17:25:33.000,0,438.0
